Jurisdiction Slug (Do not change),Permit Type Name (Do not change),Permit Type Code (Do not change),"Energy Step Required (0, 3, 4, or 5)","Zero Carbon Step Required (0, 1, 2, 3, or 4)"
regional-district-of-fraser-valley,4+ Unit housing,medium_residential,,
regional-district-of-kitimat-stikine,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-kitimat-stikine,4+ Unit housing,medium_residential,,
regional-district-of-kootenay-boundary,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-kootenay-boundary,4+ Unit housing,medium_residential,,
regional-district-of-metro-vancouver,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-metro-vancouver,4+ Unit housing,medium_residential,,
regional-district-of-mount-waddington,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-mount-waddington,4+ Unit housing,medium_residential,,
regional-district-of-nanaimo,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-nanaimo,4+ Unit housing,medium_residential,,
regional-district-of-north-coast,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-north-coast,4+ Unit housing,medium_residential,,
regional-district-of-north-okanagan,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-north-okanagan,4+ Unit housing,medium_residential,,
regional-district-of-okanagan-similkameen,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-okanagan-similkameen,4+ Unit housing,medium_residential,,
regional-district-of-peace-river,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-peace-river,4+ Unit housing,medium_residential,,
regional-district-of-qathet,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-qathet,4+ Unit housing,medium_residential,,
regional-district-of-squamish-lillooet,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-squamish-lillooet,4+ Unit housing,medium_residential,,
regional-district-of-strathcona,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-strathcona,4+ Unit housing,medium_residential,,
regional-district-of-sunshine-coast,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-sunshine-coast,4+ Unit housing,medium_residential,,
regional-district-of-the-capital,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-the-capital,4+ Unit housing,medium_residential,,
regional-district-of-thompson-nicola,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-district-of-thompson-nicola,4+ Unit housing,medium_residential,,
regional-municipality-of-northern-rockies,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
regional-municipality-of-northern-rockies,4+ Unit housing,medium_residential,,
resort-municipality-of-sun-peaks-mountain,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
resort-municipality-of-sun-peaks-mountain,4+ Unit housing,medium_residential,,
resort-municipality-of-whistler,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
resort-municipality-of-whistler,4+ Unit housing,medium_residential,,
town-of-comox,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-comox,4+ Unit housing,medium_residential,,
town-of-creston,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-creston,4+ Unit housing,medium_residential,,
town-of-gibsons,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-gibsons,4+ Unit housing,medium_residential,,
town-of-golden,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-golden,4+ Unit housing,medium_residential,,
town-of-ladysmith,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-ladysmith,4+ Unit housing,medium_residential,,
town-of-lake-cowichan,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-lake-cowichan,4+ Unit housing,medium_residential,,
town-of-oliver,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-oliver,4+ Unit housing,medium_residential,,
town-of-osoyoos,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-osoyoos,4+ Unit housing,medium_residential,,
town-of-port-mcneill,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-port-mcneill,4+ Unit housing,medium_residential,,
town-of-princeton,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-princeton,4+ Unit housing,medium_residential,,
town-of-qualicum-beach,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-qualicum-beach,4+ Unit housing,medium_residential,,
town-of-sidney,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-sidney,4+ Unit housing,medium_residential,,
town-of-smithers,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-smithers,4+ Unit housing,medium_residential,,
town-of-view-royal,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
town-of-view-royal,4+ Unit housing,medium_residential,,
village-of-anmore,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-anmore,4+ Unit housing,medium_residential,,
village-of-belcarra,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-belcarra,4+ Unit housing,medium_residential,,
village-of-cache-creek,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-cache-creek,4+ Unit housing,medium_residential,,
village-of-canal-flats,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-canal-flats,4+ Unit housing,medium_residential,,
village-of-chase,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-chase,4+ Unit housing,medium_residential,,
village-of-clinton,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-clinton,4+ Unit housing,medium_residential,,
village-of-daajing-giids,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-daajing-giids,4+ Unit housing,medium_residential,,
village-of-fraser-lake,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-fraser-lake,4+ Unit housing,medium_residential,,
village-of-gold-river,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-gold-river,4+ Unit housing,medium_residential,,
village-of-granisle,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-granisle,4+ Unit housing,medium_residential,,
village-of-harrison-hot-springs,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-harrison-hot-springs,4+ Unit housing,medium_residential,,
village-of-kaslo,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-kaslo,4+ Unit housing,medium_residential,,
village-of-lions-bay,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-lions-bay,4+ Unit housing,medium_residential,,
village-of-masset,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-masset,4+ Unit housing,medium_residential,,
village-of-midway,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-midway,4+ Unit housing,medium_residential,,
village-of-nakusp,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-nakusp,4+ Unit housing,medium_residential,,
village-of-pemberton,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-pemberton,4+ Unit housing,medium_residential,,
village-of-port-alice,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-port-alice,4+ Unit housing,medium_residential,,
village-of-port-clements,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-port-clements,4+ Unit housing,medium_residential,,
